FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9,Rank,Unique_flat_No
16,C-1604,3BHK,2,30,28,26,24,22,20,18,16,14,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1604"
16,C-1604,3BHK,2,30,28,26,24,22,20,18,16,14,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1604"
16,C-1605,3BHK,2,30,28,26,24,22,20,18,16,14,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1605"
16,C-1605,3BHK,2,30,28,26,24,22,20,18,16,14,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1605"
16,C-1606,3BHK,2,30,28,26,24,22,20,18,16,14,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1606"
16,C-1606,3BHK,2,30,28,26,24,22,20,18,16,14,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1606"
16,C-1607,3BHK,2,30,28,26,24,22,20,18,16,14,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1607"
16,C-1607,3BHK,2,30,28,26,24,22,20,18,16,14,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1607"
16,C-1601,4BHK,3,30,28,26,24,22,20,18,16,14,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1601"
16,C-1601,4BHK,3,30,28,26,24,22,20,18,16,14,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1601"
16,C-1601,4BHK,3,30,28,26,24,22,20,18,16,14,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1601"
16,C-1603,4BHK,3,30,28,26,24,22,20,18,16,14,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1603"
16,C-1603,4BHK,3,30,28,26,24,22,20,18,16,14,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1603"
16,C-1603,4BHK,3,30,28,26,24,22,20,18,16,14,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1603"
17,C-1702,3BHK,2,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1702"
17,C-1702,3BHK,2,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1702"
17,C-1704,3BHK,2,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1704"
17,C-1704,3BHK,2,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1704"
17,C-1705,3BHK,2,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1705"
17,C-1705,3BHK,2,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1705"
17,C-1706,3BHK,2,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1706"
17,C-1706,3BHK,2,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1706"
17,C-1707,3BHK,2,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1707"
17,C-1707,3BHK,2,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1707"
17,C-1701,4BHK,3,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1701"
17,C-1701,4BHK,3,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1701"
17,C-1701,4BHK,3,32,30,28,26,24,22,20,18,16,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1701"
17,C-1703,4BHK,3,32,30,28,26,24,22,20,18,16,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1703"
17,C-1703,4BHK,3,32,30,28,26,24,22,20,18,16,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1703"
17,C-1703,4BHK,3,32,30,28,26,24,22,20,18,16,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1703"
18,C-1804,3BHK,2,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1804"
18,C-1804,3BHK,2,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1804"
18,C-1805,3BHK,2,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1805"
18,C-1805,3BHK,2,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1805"
18,C-1806,3BHK,2,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1806"
18,C-1806,3BHK,2,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1806"
18,C-1807,3BHK,2,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1807"
18,C-1807,3BHK,2,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1807"
18,C-1802,3BHK,2,34,32,30,28,26,24,22,20,18,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1802"
18,C-1802,3BHK,2,34,32,30,28,26,24,22,20,18,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1802"
