Row,Col,Value
489,499,1080
490,500,1095
491,501,1110
492,502,1125
493,503,1140
494,504,1155
495,505,1180
496,496,1035
497,506,1195
498,507,1210
499,508,1225
500,509,1240
501,510,1255
502,511,1270
503,513,1302
504,514,1317
505,515,1342
506,516,1357
507,517,1372
508,518,1387
509,519,1402
510,520,1417
511,521,1432
512,512,1287
513,522,1447
514,523,1462
515,524,1477
516,525,1502
517,526,1517
518,527,1532
519,529,1564
520,530,1579
521,531,1594
522,532,1609
523,533,1624
524,534,420
525,535,435
526,536,450
527,537,465
528,528,1549
529,538,480
530,539,495
531,540,510
532,541,525
533,542,540
534,543,555
535,545,577
536,546,592
537,547,607
538,548,622
539,549,637
540,550,652
541,551,667
542,552,682
543,553,697
544,544,562
545,554,702
546,556,734
547,557,749
548,558,764
549,559,779
550,560,794
551,561,809
552,562,824
553,563,839
554,564,844
555,555,719
556,565,859
557,566,874
558,567,889
559,568,904
560,569,919
561,570,934
562,572,966
563,573,981
564,574,986
565,575,1001
566,576,1016
567,577,1031
568,578,1046
569,579,1061
570,580,1076
571,571,951
572,581,1091
573,582,1106
574,583,1121
575,584,1146
576,585,1161
577,586,1176
578,588,1208
579,589,1223
580,590,1238
581,591,1253
582,592,1268
583,593,1283
584,594,1308
585,595,1323
586,596,1338
587,587,1193
588,597,1353
589,598,1368
590,599,1383
591,600,1398
592,601,1413
593,602,1428
594,604,1470
595,605,1485
596,606,1500
597,607,1515
598,608,1530
599,609,1545
600,610,1560
601,611,1575
602,612,1590
603,603,1445
604,613,1605
605,614,1630
606,615,1645
607,616,1660
608,617,1675
609,618,1690
610,620,1722
611,621,1737
612,622,1752
613,623,722
614,624,737
615,625,752
616,626,767
617,627,782
618,628,797
619,619,1707
620,629,812
621,630,827
622,631,842
623,632,857
624,633,862
625,634,877
626,636,909
627,637,924
628,638,939
629,639,954
630,640,969
631,641,984
632,642,999
633,643,1004
634,644,1019
635,635,894
636,645,1034
637,646,1049
638,647,1064
639,648,1079
640,649,1094
641,650,1109
642,652,1141
643,653,1146
644,654,1161
645,655,1176
646,656,1191
647,657,1206
648,658,1221
649,659,1236
650,660,1251
651,651,1126
652,661,1266
653,663,1288
654,664,1303
655,665,1318
656,666,1333
657,667,1348
658,668,1363
659,669,1378
660,670,1393
661,671,1408
662,662,1283
663,672,1423
664,673,1448
665,674,1463
666,675,1478
667,676,1493
668,677,1508
669,679,1540
670,680,1555
671,681,1570
672,682,1585
673,683,1610
674,684,1625
675,685,1640
676,686,1655
677,687,1670
678,678,1525
679,688,1685
680,689,1700
681,690,1715
682,691,1730
683,692,1745
684,693,1770
685,695,1802
686,696,1817
687,697,1832
688,698,1847
689,699,1862
690,700,1877
691,701,1892
692,353,1906
693,702,1907
694,694,1787
695,439,1919
696,354,1921
697,703,1932
698,440,1934
699,355,1936
700,704,1947
701,705,1964
702,712,792
703,713,807
704,714,822
705,715,837
706,716,852
707,717,867
708,718,882
709,719,897
710,441,1951
711,720,912
712,721,927
713,722,932
714,723,947
715,724,962
716,725,977
717,727,1009
718,728,1024
719,729,1039
720,730,1054
721,731,1069
722,732,1074
723,733,1089
724,734,1104
725,735,1119
726,726,994
727,736,1134
728,737,1149
729,738,1164
730,739,1179
731,740,1194
732,741,1209
733,743,1231
734,744,1246
735,745,1261
736,746,1276
737,747,1291
738,748,1306
739,749,1321
740,750,1336
741,751,1351
742,742,1216
743,752,1356
744,753,1371
745,754,1386
746,755,1401
747,756,1416
748,757,1431
749,759,1463
750,760,1478
751,761,1493
752,762,1518
753,763,1533
754,764,1548
755,765,1563
756,766,1578
757,767,1593
758,758,1448
759,768,1608
760,769,1623
761,770,1638
762,771,1653
763,773,1695
764,774,1710
765,775,1725
766,776,1740
767,777,1755
768,778,1770
769,779,1785
770,780,1800
771,781,1815
772,772,1680
773,782,1840
774,783,1855
775,784,1870
776,785,1885
777,786,1900
778,787,1915
779,789,1947
780,790,1962
781,442,1976
782,791,1977
783,706,1989
784,443,1991
785,792,2002
786,707,2004
787,444,2006
788,788,1932
789,793,2017
790,708,2019
791,794,2032
